task_id,backend,status,message,arrival_time,start_time,finish_time,waiting_time,turnaround_time,fidelity,exec_time_est,swap_count
4,fake_brisbane,success,,8.066872810831416,10.0,10.0008192,1.9331271891685837,1.9339463891685842,0.9655885070369844,0.0008191999999999997,0.0
14,fake_hanoi,success,,2.0200418208755178,10.0,10.003584,7.979958179124482,7.983542179124482,0.9733480924695651,0.0035840000000000004,0.0
17,fake_hanoi,failed,'Number of qubits (128) in qft is greater than maximum (27) in the coupling_map',9.090828585108385,10.003584,11.003584,0.912755414891615,1.912755414891615,,,
2,fake_brisbane,success,,13.335046097400705,20.0,20.0020992,6.664953902599295,6.667053102599295,0.9417362622231683,0.0020991999999999985,0.0
9,fake_hanoi,failed,'Number of qubits (128) in qft is greater than maximum (27) in the coupling_map',10.69018649304892,20.0,21.0,9.30981350695108,10.30981350695108,,,
5,fake_hanoi,failed,'Number of qubits (128) in qft is greater than maximum (27) in the coupling_map',16.873309970352647,21.0,22.0,4.126690029647353,5.126690029647353,,,
7,fake_hanoi,success,,17.15959631168657,30.0,30.0037376,12.84040368831343,12.84414128831343,0.9617319426784903,0.0037376,0.0
0,fake_hanoi,success,,22.244896315175524,30.0037376,30.0054272,7.758841284824477,7.760530884824476,0.9870777147137147,0.0016896000000000003,0.0
1,fake_brisbane,failed,'Number of qubits (128) in qft is greater than maximum (127) in the coupling_map',21.441696770484224,30.0,31.0,8.558303229515776,9.558303229515776,,,
11,fake_brisbane,success,,23.537752758758263,40.0,40.0024576,16.462247241241737,16.464704841241737,0.9221563184394991,0.002457599999999998,0.0
15,fake_hanoi,success,,22.567830563666714,40.0,40.003328,17.432169436333286,17.43549743633329,0.9540649618417361,0.003328,0.0
8,fake_hanoi,success,,24.912665109530586,40.003328,40.0050176,15.090662890469417,15.092352490469416,0.9870777147137147,0.0016896000000000003,0.0
3,fake_hanoi,success,,25.255807994895168,50.0,50.0037376,24.744192005104832,24.747929605104833,0.9617319426784903,0.0037376,0.0
6,fake_hanoi,success,,30.181055894929887,50.0037376,50.0073216,19.822681705070114,19.82626570507011,0.9733480924695651,0.0035840000000000004,0.0
13,fake_brisbane,failed,'Number of qubits (128) in qft is greater than maximum (127) in the coupling_map',29.853468732768512,50.0,51.0,20.146531267231488,21.146531267231488,,,
12,fake_brisbane,success,,32.14831694390952,60.0,60.0008192,27.85168305609048,27.85250225609048,0.9655885070369844,0.0008191999999999997,0.0
19,fake_hanoi,success,,31.814532505112957,60.0,60.0037376,28.185467494887043,28.189205094887043,0.9617319426784903,0.0037376,0.0
16,fake_hanoi,success,,33.101738650770635,60.0037376,60.0054272,26.901998949229366,26.903688549229365,0.9870777147137147,0.0016896000000000003,0.0
18,fake_brisbane,success,,47.20688937720032,70.0,70.0021504,22.79311062279968,22.795261022799686,0.9436225637280606,0.0021503999999999985,0.0
10,fake_hanoi,success,,40.64388316961093,70.0,70.003584,29.35611683038907,29.359700830389073,0.9733480924695651,0.0035840000000000004,0.0
