Metric,Value
Min Waiting Time,1.9331271891685837
Max Waiting Time,29.35611683038907
Avg Waiting Time,17.721174298376354
Min Turnaround Time,1.9339463891685842
Max Turnaround Time,29.359700830389073
Avg Turnaround Time,17.723754778376353
Min Execution Time,0.0008191999999999997
Max Execution Time,0.0037376
Avg Execution Time,0.00258048
Success Rate (%),75.0
